date,net_daily_pnl,gross_exposure,active_pairs,fold_id,active_pairs_possible,cumulative_pnl,equity,daily_return,gross_exposure_pct
2025-07-22,-9.435988017152432,10000.0,1,1,5,-508.02132183254696,99491.97867816745,-9.435988017152432e-05,0.1
2025-07-23,-13.991540817570176,10000.0,1,1,5,-522.0128626501171,99477.98713734989,-0.00013991540817570177,0.1
2025-07-24,9.957488937572528,10000.0,1,1,5,-512.0553737125446,99487.94462628746,9.957488937572528e-05,0.1
2025-07-25,38.724425184121515,10000.0,1,1,5,-473.33094852842305,99526.66905147157,0.00038724425184121517,0.1
2025-07-28,3.7146355064111276,0.0,0,1,5,-469.6163130220119,99530.38368697799,3.714635506411128e-05,0.0
2025-07-29,-2.0,10000.0,1,1,5,-471.6163130220119,99528.38368697799,-2e-05,0.1
2025-07-30,-140.83586252755123,10000.0,1,1,5,-612.4521755495632,99387.54782445043,-0.0014083586252755123,0.1
2025-07-31,66.7858358502985,10000.0,1,1,5,-545.6663396992647,99454.33366030073,0.000667858358502985,0.1
2025-08-01,60.80664991413957,10000.0,1,1,5,-484.85968978512506,99515.14031021488,0.0006080664991413957,0.1
2025-08-04,97.12553403600003,10000.0,1,1,5,-387.734155749125,99612.26584425087,0.0009712553403600004,0.1
2025-08-05,108.25038156295071,10000.0,1,1,5,-279.4837741861743,99720.51622581383,0.0010825038156295071,0.1
2025-08-06,52.60408552155519,10000.0,1,1,5,-226.8796886646191,99773.12031133538,0.0005260408552155519,0.1
2025-08-07,0.5595172449930566,10000.0,1,1,5,-226.32017141962604,99773.67982858037,5.595172449930565e-06,0.1
2025-08-08,0.10783388640349045,20000.0,2,1,5,-226.21233753322255,99773.78766246678,1.0783388640349046e-06,0.2
2025-08-11,-143.38810431843226,20000.0,2,1,5,-369.6004418516548,99630.39955814835,-0.0014338810431843226,0.2
2025-08-12,80.1256335095676,20000.0,2,1,5,-289.4748083420872,99710.52519165791,0.0008012563350956761,0.2
2025-08-13,203.53414585982432,10000.0,1,1,5,-85.9406624822629,99914.05933751774,0.002035341458598243,0.1
2025-08-14,-61.143712357002045,10000.0,1,1,5,-147.08437483926494,99852.91562516073,-0.0006114371235700205,0.1
2025-08-15,-15.820424919851067,10000.0,1,1,5,-162.904799759116,99837.09520024089,-0.00015820424919851068,0.1
2025-08-18,22.210467323775436,10000.0,1,1,5,-140.69433243534056,99859.30566756467,0.00022210467323775435,0.1
2025-08-19,1.5096386782431352,10000.0,1,1,5,-139.18469375709742,99860.8153062429,1.5096386782431352e-05,0.1
2025-08-20,32.264095523164514,10000.0,1,1,5,-106.9205982339329,99893.07940176607,0.00032264095523164515,0.1
2025-08-21,-29.118244030437832,10000.0,1,1,5,-136.03884226437074,99863.96115773563,-0.0002911824403043783,0.1
2025-08-22,37.349819266860905,10000.0,1,1,5,-98.68902299750984,99901.31097700249,0.00037349819266860903,0.1
2025-08-25,-32.069985516613905,10000.0,1,1,5,-130.75900851412374,99869.24099148587,-0.00032069985516613905,0.1
2025-08-26,-48.96051145066389,10000.0,1,1,5,-179.71951996478762,99820.28048003522,-0.0004896051145066388,0.1
2025-08-27,-24.775168144191127,10000.0,1,1,5,-204.49468810897875,99795.50531189101,-0.00024775168144191125,0.1
2025-08-28,66.63918159396599,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0006663918159396598,0.0
2025-08-29,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-02,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-03,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-04,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-05,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-08,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-09,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-10,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-11,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-12,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-15,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-16,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-17,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-18,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-19,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-22,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-23,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-24,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-25,0.0,0.0,0,1,5,-137.85550651501276,99862.14449348499,0.0,0.0
2025-09-26,-2.0,10000.0,1,1,5,-139.85550651501276,99860.14449348499,-2e-05,0.1
