ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score
ARKQ,SKYY,cross_asset,sector__industry,technology__cloud,sector_industry,2512,0.7985114610054885,True,2512,-2.286026890170925,0.3805455800775765,-2.285547162150012,0.17667167600886308,1.1801993891046667,-1.1383393225279796,164.44147708687026,-2.9232850806693023e-08,0.13540758192539215,False,1035.0
DBEF,EFA,equity,international_equity,developed_ex_us,same_subgroup,2512,0.9245051415028187,True,2512,-2.12860353571541,0.461427366805509,-2.128217449856097,0.23332061474370652,1.2932718415483917,-1.9900691293722677,182.67417261345727,-2.1108397163516202e-07,0.07016517966985703,False,1040.0
SIL,SLV,commodity,metals,silver,same_subgroup,2512,0.7557075426674058,True,2512,-2.1396691430556096,0.4556572918359955,-2.141446513429713,0.2281784826583188,0.8232283149387294,0.9705981302485203,114.2094257130542,6.378076733426497e-08,0.15717384219169617,False,1041.0
CEF,GSLC,commodity,metals,gold,same_subgroup,2512,0.17224034077635417,True,2512,-2.1915497270196984,0.4287253303728827,-2.1921984169611135,0.20908915675199635,0.9261519550131856,-1.0470479980050627,122.85057632272084,8.807820250922305e-08,0.15759563446044922,False,1045.0
FDVV,FVD,equity,factor,dividend,same_subgroup,2512,0.906689260769466,True,2512,-1.9412558715169124,0.5589459690380546,-1.9399391848657532,0.313511881867232,1.5173894294880599,-1.8777099081049773,139.66919421435006,1.5185896984348801e-09,0.06590510159730911,False,1045.0
DIA,PPA,cross_asset,sector__industry,industrials__aerospace_defense,sector_industry,2512,0.8351718158349751,True,2512,-2.143259910002761,0.4537864399261085,-2.1436815508351663,0.22731645888275764,0.7535383365618249,2.4203936144158718,196.2069719122169,1.974166607965344e-08,0.07660321146249771,False,1046.0
FCOM,ITM,fixed_income,municipal,national_muni,same_subgroup,2512,0.11778114456465098,True,2512,-2.028588758230823,0.5136887536153589,-2.0262044552242773,0.27520284817544094,4.283067652602767,-12.34494720600162,88.47249417729937,-5.55803808310884e-07,0.16913101077079773,False,1059.0
SIL,SIVR,commodity,metals,silver,same_subgroup,2512,0.7568362978733691,True,2512,-2.122743983270329,0.46448532122902075,-2.1245753614439584,0.23474822161698838,0.8117623102044149,0.9732538156891746,116.91999448470925,2.1260255778088322e-08,0.1593487560749054,False,1074.0
ANGL,HYG,fixed_income,credit,high_yield,same_subgroup,2512,0.8765628718895268,True,2512,-1.0198776997578594,0.8990119196518374,-1.0177102961863038,0.7467501978250137,1.2607037683553433,-2.117977642354056,139.8502382161123,-1.7501746185644151e-07,0.031356457620859146,False,1077.0
GOVT,SCHR,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9121617078177743,True,2512,-0.889411719598045,0.92189566046139,-0.8874455388101774,0.7920786622056822,0.9529641575074814,0.09067331192463612,159.75234506919122,1.1389422738261601e-08,0.014483215287327766,False,1079.0
PTF,SMH,cross_asset,sector__industry,technology__semiconductors,sector_industry,2512,0.8320521470531607,True,2512,-1.9520919434498454,0.5533735442471756,-1.9498559114044194,0.3089826999388957,0.7230141660767925,0.23038249595344285,115.76529974127928,9.87083303982672e-09,0.11330624669790268,False,1080.0
GOVT,IEF,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9410441887358835,True,2512,-0.420762842936375,0.9695176721461725,-0.4133589305108612,0.9078443070251836,0.8053209178555012,-0.5592821557703713,116.74426086415123,2.4866906755960372e-08,0.009892660193145275,False,1080.0
ANGL,JNK,fixed_income,credit,high_yield,same_subgroup,2512,0.8806517045061435,True,2512,-0.9101004841393872,0.9186146094711621,-0.906624477113372,0.7857830548161504,1.2612291891593657,-2.351046774948557,136.5637458132527,1.590722717992321e-07,0.030332239344716072,False,1081.0
IYR,SCHH,equity,sector,real_estate,same_subgroup,2512,0.9877857675715108,True,2512,-1.9969695742387248,0.530152986974946,-2.000519965873326,0.2863451588021164,1.213065215557386,0.8298121259393554,224.16715886283097,-6.909583305514388e-08,0.05747940391302109,False,1083.0
QTEC,SKYY,cross_asset,sector__industry,technology__cloud,sector_industry,2512,0.873708377204602,True,2512,-2.170977912658548,0.4393761341463235,-2.170398940124448,0.21716377012996524,1.1429643765374022,-0.1037339719310637,185.2420531579082,9.718974069983233e-08,0.11006426066160202,False,1085.0
